Student_ID,Gender,Age,Education,CGPA,Internships,Year,Hostel,Projects,Letter_of_Recommendation,Specialization,On/Off Campus,Package(LPA),HistoryOfBacklogs,Placement_Status
20045,Female,22,Bachelor,5.66,0,2020,Not Opted,1,Yes,Computer Science,On Campus,0,4,Not Placed
20046,Female,24,Master,9.33,4,2023,Not Opted,1,Yes,Electrical,On Campus,805559,0,Placed
20047,Female,26,Master,5.79,0,2021,Opted,1,No,Electronics,Off Campus,0,3,Not Placed
20048,Male,24,Master,6.55,4,2019,Opted,3,No,Mechanical,On Campus,288114,1,Placed
20049,Female,22,Bachelor,6.45,3,2018,Not Opted,0,Yes,Information Technology,On Campus,908481,1,Placed
20050,Female,26,Master,9.36,2,2020,Opted,1,No,Civil,On Campus,721358,1,Placed
20051,Male,24,Master,8.36,2,2019,Not Opted,2,Yes,Civil,Off Campus,0,3,Not Placed
20052,Female,24,Master,8.98,2,2018,Not Opted,0,Yes,Mechanical,On Campus,439139,0,Placed
20053,Male,24,Master,6.25,4,2020,Not Opted,2,No,Electrical,Off Campus,0,4,Not Placed
20054,Female,28,Master,8.12,2,2019,Not Opted,0,No,Information Technology,Off Campus,839963,1,Placed
20055,Male,27,Bachelor,7.86,0,2019,Not Opted,1,No,Information Technology,On Campus,522726,1,Placed
20056,Female,27,Master,9.16,2,2023,Not Opted,5,No,Computer Science,On Campus,322603,0,Placed
20057,Female,24,Master,9.53,3,2020,Opted,4,Yes,Computer Science,On Campus,614921,1,Placed
20058,Male,30,Master,5.06,0,2019,Opted,1,Yes,Electronics,On Campus,793669,1,Placed
20059,Male,30,Master,8.37,2,2022,Not Opted,3,No,Electrical,Off Campus,0,3,Not Placed
20060,Male,23,Bachelor,5.26,2,2020,Opted,5,No,Mechanical,Off Campus,592949,2,Placed
20061,Male,22,Bachelor,7.74,1,2019,Not Opted,3,Yes,Computer Science,Off Campus,375725,0,Placed
20062,Male,21,Bachelor,6.44,4,2023,Opted,0,Yes,Computer Science,Off Campus,810505,0,Placed
20063,Male,27,Master,6.53,0,2018,Opted,3,Yes,Electronics,Off Campus,978873,0,Placed
20064,Male,27,Master,6.76,1,2018,Opted,5,Yes,Information Technology,Off Campus,0,3,Not Placed
20065,Male,22,Bachelor,8.11,3,2022,Not Opted,5,No,Computer Science,Off Campus,0,3,Not Placed
20066,Female,27,Bachelor,6.67,4,2020,Opted,1,No,Civil,Off Campus,0,4,Not Placed
20067,Female,27,Bachelor,8.66,0,2023,Not Opted,2,No,Electronics,Off Campus,0,3,Not Placed
20068,Male,24,Master,7.02,2,2019,Not Opted,1,Yes,Information Technology,Off Campus,503682,0,Placed
20069,Female,29,Master,5.34,0,2019,Not Opted,0,Yes,Electronics,On Campus,0,4,Not Placed
20070,Female,27,Bachelor,8.92,2,2018,Opted,3,No,Electronics,On Campus,411470,2,Placed
20071,Female,23,Bachelor,6.43,4,2023,Opted,2,No,Electronics,On Campus,634448,1,Placed
20072,Female,27,Bachelor,7.16,2,2022,Opted,4,No,Electronics,Off Campus,320026,1,Placed
20073,Male,27,Master,8.43,3,2018,Not Opted,5,Yes,Computer Science,On Campus,0,4,Not Placed
20074,Female,28,Master,6.66,2,2018,Not Opted,2,No,Electrical,Off Campus,253106,2,Placed
20075,Male,26,Master,5.28,3,2022,Opted,2,Yes,Computer Science,Off Campus,281227,1,Placed
20076,Female,27,Bachelor,6.87,4,2020,Not Opted,1,No,Computer Science,On Campus,0,4,Not Placed
20077,Female,25,Bachelor,9.72,4,2019,Opted,4,No,Mechanical,Off Campus,0,3,Not Placed
20078,Female,24,Master,8.21,0,2020,Opted,5,No,Electrical,On Campus,766423,0,Placed
20079,Male,23,Bachelor,8.36,3,2023,Opted,0,Yes,Electronics,Off Campus,886426,2,Placed
20080,Female,24,Master,8.16,3,2021,Opted,0,Yes,Electronics,Off Campus,843887,1,Placed
20081,Male,27,Bachelor,5.99,1,2021,Not Opted,2,Yes,Mechanical,On Campus,954077,0,Placed
20082,Female,22,Bachelor,7.09,1,2021,Opted,2,Yes,Mechanical,On Campus,0,4,Not Placed
20083,Male,23,Bachelor,8.75,1,2022,Opted,3,Yes,Information Technology,On Campus,968378,1,Placed
20084,Female,27,Bachelor,,2,2018,Opted,4,Yes,Information Technology,On Campus,338213,0,Placed
20085,Male,28,Master,6.39,1,2020,Opted,5,No,Computer Science,On Campus,0,3,Not Placed
20086,Male,24,Bachelor,6.38,3,2019,Opted,2,Yes,Information Technology,On Campus,911083,2,Placed
20087,Female,24,Master,7.16,2,2021,Opted,3,No,Information Technology,Off Campus,0,4,Not Placed
20088,Male,25,Master,9.9,4,2020,Opted,4,Yes,Electrical,Off Campus,693466,1,Placed
20089,Female,26,Master,5.34,0,2021,Not Opted,5,No,Electrical,Off Campus,0,3,Not Placed
20090,Female,25,Bachelor,7.59,1,2021,Not Opted,0,No,Civil,Off Campus,279711,2,Placed
20091,Female,27,Master,5.9,4,2019,Not Opted,3,Yes,Electronics,On Campus,341123,2,Placed
20092,Female,24,Master,,3,2023,Not Opted,4,No,Electrical,Off Campus,0,3,Not Placed
20093,Female,27,Master,,0,2023,Opted,3,Yes,Information Technology,Off Campus,979572,1,Placed
20094,Female,27,Bachelor,,4,2023,Not Opted,2,Yes,Computer Science,On Campus,465593,2,Placed
20095,Female,27,Bachelor,8.69,0,2022,Not Opted,1,Yes,Computer Science,Off Campus,0,4,Not Placed
20096,Female,24,Master,8.52,1,2018,Not Opted,0,Yes,Electronics,On Campus,884550,0,Placed
20097,Female,27,Bachelor,7.11,3,2022,Opted,2,No,Computer Science,On Campus,0,4,Not Placed
20098,Female,25,Master,6.73,0,2020,Not Opted,2,Yes,Electronics,On Campus,297069,2,Placed
20099,Female,24,Master,6.99,4,2022,Not Opted,4,No,Electrical,Off Campus,881501,0,Placed
20100,Male,23,Bachelor,6.32,1,2020,Opted,3,No,Computer Science,On Campus,0,3,Not Placed
20101,Male,24,Master,6.03,1,2020,Not Opted,0,No,Computer Science,Off Campus,748196,0,Placed
20102,Female,22,Bachelor,7.42,4,2018,Opted,2,Yes,Information Technology,Off Campus,566991,0,Placed
20103,Female,22,Bachelor,6.34,4,2019,Not Opted,4,No,Information Technology,Off Campus,978628,0,Placed
20104,Female,24,Master,6.44,0,2018,Opted,0,Yes,Electronics,On Campus,217412,2,Placed
20105,Female,25,Bachelor,8.28,2,2023,Not Opted,3,No,Electronics,On Campus,572174,1,Placed
20106,Female,24,Bachelor,9.84,1,2023,Not Opted,2,Yes,Electrical,On Campus,467800,2,Placed
20107,Female,30,Master,8.02,0,2022,Not Opted,5,Yes,Electronics,Off Campus,340039,1,Placed
20108,Female,24,Master,5.38,4,2020,Opted,2,Yes,Electrical,Off Campus,0,3,Not Placed
20109,Female,23,Bachelor,5.38,0,2021,Not Opted,2,Yes,Civil,On Campus,0,3,Not Placed
20110,Male,27,Bachelor,,4,2021,Opted,0,No,Computer Science,Off Campus,0,3,Not Placed
20111,Female,27,Master,6.49,3,2020,Opted,0,No,Electronics,On Campus,0,3,Not Placed
20112,Male,24,Bachelor,5.46,4,2018,Opted,0,Yes,Information Technology,On Campus,0,3,Not Placed
20113,Female,25,Bachelor,8.0,4,2019,Opted,0,No,Computer Science,Off Campus,0,4,Not Placed
20114,Female,25,Bachelor,8.12,4,2018,Not Opted,4,Yes,Computer Science,Off Campus,350595,2,Placed
20115,Male,26,Bachelor,8.24,2,2020,Not Opted,1,Yes,Electrical,On Campus,772735,1,Placed
20116,Female,27,Bachelor,6.34,4,2020,Not Opted,4,No,Computer Science,Off Campus,0,3,Not Placed
20117,Male,22,Bachelor,5.08,1,2019,Opted,2,Yes,Computer Science,On Campus,0,4,Not Placed
20118,Female,25,Bachelor,9.83,1,2022,Not Opted,4,Yes,Civil,On Campus,0,4,Not Placed
20119,Female,24,Master,6.25,0,2022,Opted,3,Yes,Electronics,Off Campus,0,4,Not Placed
20120,Male,24,Master,8.38,2,2019,Opted,5,Yes,Electronics,On Campus,590909,2,Placed
20121,Female,30,Master,8.53,0,2022,Opted,0,Yes,Electronics,Off Campus,0,3,Not Placed
20122,Male,26,Master,8.05,1,2021,Not Opted,3,No,Civil,On Campus,0,4,Not Placed
20123,Female,28,Master,6.56,1,2022,Not Opted,5,No,Electrical,Off Campus,0,4,Not Placed
20124,Male,21,Bachelor,6.36,3,2022,Opted,3,No,Computer Science,Off Campus,0,3,Not Placed
20125,Male,27,Bachelor,7.99,4,2022,Not Opted,2,Yes,Mechanical,On Campus,925166,2,Placed
20126,Female,27,Bachelor,9.33,1,2021,Not Opted,0,Yes,Electronics,Off Campus,0,4,Not Placed
20127,Female,27,Bachelor,9.73,0,2022,Opted,3,Yes,Information Technology,Off Campus,654325,1,Placed
20128,Male,24,Master,5.53,0,2023,Opted,2,Yes,Information Technology,On Campus,290027,0,Placed
20129,Female,22,Bachelor,5.77,4,2021,Not Opted,0,Yes,Information Technology,Off Campus,250528,0,Placed
20130,Female,23,Bachelor,9.72,4,2019,Opted,1,Yes,Mechanical,On Campus,498374,0,Placed
20131,Female,24,Master,,3,2018,Opted,2,No,Information Technology,Off Campus,248242,2,Placed
20132,Male,27,Bachelor,9.41,2,2019,Not Opted,4,Yes,Civil,On Campus,0,4,Not Placed
20133,Male,27,Bachelor,6.01,0,2018,Not Opted,0,No,Mechanical,On Campus,314688,0,Placed
20134,Male,24,Master,7.94,4,2019,Opted,3,Yes,Electrical,On Campus,691582,0,Placed
20135,Male,27,Bachelor,8.51,0,2023,Not Opted,5,No,Electrical,On Campus,0,3,Not Placed
20136,Male,27,Bachelor,8.4,4,2018,Opted,3,Yes,Information Technology,Off Campus,0,4,Not Placed
20137,Male,27,Bachelor,7.04,1,2018,Opted,4,No,Computer Science,On Campus,0,4,Not Placed
20138,Male,26,Bachelor,5.08,0,2020,Not Opted,4,No,Computer Science,Off Campus,0,3,Not Placed
20139,Male,26,Bachelor,7.91,1,2018,Opted,3,Yes,Electronics,On Campus,0,4,Not Placed
20140,Male,24,Master,6.27,0,2018,Opted,5,Yes,Information Technology,Off Campus,230750,1,Placed
20141,Female,30,Master,7.25,2,2020,Opted,0,No,Computer Science,On Campus,782476,2,Placed
20142,Male,30,Master,,3,2022,Not Opted,2,Yes,Computer Science,Off Campus,0,3,Not Placed
20143,Female,24,Master,7.0,1,2022,Not Opted,4,Yes,Mechanical,Off Campus,818519,0,Placed
20144,Female,27,Master,9.2,4,2020,Not Opted,4,Yes,Information Technology,On Campus,0,4,Not Placed
20145,Female,25,Master,5.94,2,2021,Opted,4,No,Mechanical,On Campus,903446,1,Placed
20146,Male,26,Bachelor,8.36,0,2018,Opted,5,Yes,Information Technology,On Campus,791058,1,Placed
20147,Male,24,Master,9.89,1,2018,Not Opted,1,No,Electrical,Off Campus,431360,2,Placed
20148,Male,25,Master,5.51,0,2020,Not Opted,5,No,Computer Science,Off Campus,425440,1,Placed
20149,Male,27,Bachelor,5.04,0,2020,Not Opted,0,Yes,Electrical,Off Campus,0,4,Not Placed
20150,Female,24,Bachelor,7.17,0,2021,Opted,0,No,Electrical,Off Campus,0,4,Not Placed
20151,Male,29,Master,5.46,3,2023,Not Opted,0,Yes,Computer Science,On Campus,890080,1,Placed
20152,Male,26,Bachelor,8.74,3,2022,Opted,0,Yes,Electrical,On Campus,0,4,Not Placed
20153,Male,24,Master,9.57,4,2019,Not Opted,0,No,Electrical,On Campus,0,4,Not Placed
20154,Male,21,Bachelor,7.17,1,2023,Opted,3,No,Electronics,On Campus,405156,0,Placed
20155,Male,25,Master,6.29,2,2022,Opted,4,No,Electronics,Off Campus,0,3,Not Placed
20156,Female,27,Bachelor,,2,2018,Not Opted,5,No,Information Technology,Off Campus,0,4,Not Placed
20157,Male,26,Bachelor,8.62,2,2023,Opted,3,No,Electrical,On Campus,0,4,Not Placed
20158,Female,30,Master,5.05,0,2020,Not Opted,5,Yes,Civil,Off Campus,817846,2,Placed
20159,Male,27,Master,7.95,3,2021,Opted,1,No,Mechanical,On Campus,0,3,Not Placed
20160,Female,25,Master,8.07,1,2022,Opted,2,Yes,Civil,Off Campus,0,3,Not Placed
20161,Male,30,Master,8.19,0,2021,Not Opted,4,Yes,Information Technology,Off Campus,0,3,Not Placed
20162,Male,26,Master,6.21,3,2022,Opted,1,No,Electronics,Off Campus,248838,1,Placed
20163,Female,25,Bachelor,8.57,3,2023,Not Opted,3,No,Electrical,Off Campus,733022,0,Placed
20164,Female,29,Master,5.46,1,2018,Not Opted,2,No,Computer Science,Off Campus,831475,0,Placed
20165,Female,26,Master,6.0,1,2019,Not Opted,1,No,Electronics,Off Campus,299329,2,Placed
20166,Male,27,Bachelor,9.39,1,2021,Opted,5,No,Electrical,On Campus,0,3,Not Placed
20167,Female,22,Bachelor,8.69,0,2021,Opted,2,Yes,Computer Science,Off Campus,0,3,Not Placed
20168,Male,29,Master,5.07,4,2019,Opted,5,Yes,Computer Science,On Campus,0,4,Not Placed
20169,Male,25,Bachelor,,1,2021,Not Opted,1,Yes,Electronics,On Campus,320424,1,Placed
20170,Female,27,Bachelor,6.07,4,2021,Not Opted,3,No,Computer Science,On Campus,520217,1,Placed
20171,Female,30,Master,6.35,0,2022,Opted,5,No,Computer Science,On Campus,928285,2,Placed
20172,Male,21,Bachelor,6.24,4,2022,Opted,2,Yes,Information Technology,On Campus,444042,0,Placed
20173,Male,27,Bachelor,5.31,2,2019,Not Opted,1,No,Computer Science,On Campus,0,3,Not Placed
20174,Female,25,Master,7.29,4,2018,Opted,5,No,Mechanical,Off Campus,425683,2,Placed
20175,Female,30,Master,8.66,1,2023,Not Opted,3,No,Information Technology,Off Campus,415547,1,Placed
20176,Female,22,Bachelor,8.03,0,2023,Opted,4,Yes,Electrical,Off Campus,443603,1,Placed
20177,Male,26,Bachelor,8.36,1,2021,Not Opted,3,No,Mechanical,On Campus,905662,1,Placed
20178,Male,24,Master,5.41,2,2018,Opted,3,Yes,Electrical,On Campus,0,3,Not Placed
20179,Male,23,Bachelor,9.76,1,2019,Opted,4,No,Information Technology,On Campus,0,3,Not Placed
20180,Male,25,Bachelor,9.19,1,2019,Not Opted,3,No,Electronics,Off Campus,0,3,Not Placed
20181,Male,24,Bachelor,9.03,1,2022,Not Opted,4,Yes,Information Technology,Off Campus,0,4,Not Placed
20182,Male,24,Master,9.11,3,2021,Not Opted,4,No,Information Technology,Off Campus,272663,0,Placed
20183,Female,27,Bachelor,9.66,2,2020,Opted,5,No,Electronics,On Campus,301216,1,Placed
20184,Male,25,Bachelor,7.72,1,2019,Not Opted,5,No,Electronics,On Campus,974888,1,Placed
20185,Male,28,Master,6.0,1,2021,Not Opted,4,Yes,Electronics,On Campus,0,4,Not Placed
20186,Male,24,Bachelor,8.08,1,2018,Opted,1,No,Civil,Off Campus,671358,1,Placed
20187,Female,21,Bachelor,8.71,0,2022,Not Opted,2,No,Electronics,On Campus,494887,1,Placed
20188,Male,27,Master,8.69,3,2023,Not Opted,1,No,Electronics,On Campus,0,3,Not Placed
20189,Male,28,Master,7.61,0,2018,Not Opted,4,No,Mechanical,On Campus,0,3,Not Placed
20190,Female,24,Master,5.34,3,2019,Opted,2,No,Computer Science,On Campus,684100,0,Placed
20191,Male,26,Master,6.86,1,2019,Opted,5,Yes,Information Technology,Off Campus,734396,1,Placed
20192,Male,22,Bachelor,9.6,2,2018,Opted,2,Yes,Electronics,Off Campus,404706,2,Placed
20193,Male,27,Bachelor,7.92,4,2019,Not Opted,4,No,Electrical,On Campus,760468,1,Placed
20194,Male,28,Master,7.69,4,2021,Opted,5,No,Computer Science,On Campus,481027,1,Placed
20195,Male,26,Master,6.34,1,2019,Not Opted,2,Yes,Information Technology,Off Campus,768688,0,Placed
20196,Female,26,Bachelor,6.84,0,2022,Not Opted,2,No,Information Technology,Off Campus,377071,2,Placed
20197,Female,25,Master,9.48,2,2021,Not Opted,1,No,Electrical,On Campus,772239,1,Placed
20198,Female,27,Bachelor,8.33,3,2020,Opted,2,No,Electronics,Off Campus,600376,2,Placed
20199,Male,24,Master,8.94,1,2019,Opted,4,No,Mechanical,Off Campus,0,3,Not Placed
20200,Male,27,Bachelor,7.27,2,2019,Not Opted,0,No,Electronics,On Campus,0,3,Not Placed
20201,Male,24,Master,8.15,2,2022,Not Opted,0,No,Electronics,Off Campus,577250,2,Placed
20202,Female,24,Master,6.24,3,2022,Opted,0,No,Information Technology,Off Campus,883717,1,Placed
20203,Male,23,Bachelor,8.53,2,2023,Opted,4,No,Information Technology,Off Campus,888916,2,Placed
20204,Male,24,Master,7.14,0,2018,Opted,0,Yes,Information Technology,Off Campus,524078,2,Placed
20205,Female,24,Bachelor,7.21,0,2018,Not Opted,1,Yes,Electrical,On Campus,0,3,Not Placed
20206,Male,21,Bachelor,8.25,0,2018,Opted,4,No,Computer Science,Off Campus,298171,2,Placed
20207,Female,22,Bachelor,9.68,2,2022,Opted,5,No,Electrical,Off Campus,0,4,Not Placed
20208,Female,27,Bachelor,5.32,0,2018,Opted,4,No,Electrical,On Campus,0,4,Not Placed
20209,Female,27,Bachelor,9.12,3,2018,Not Opted,4,No,Information Technology,Off Campus,0,3,Not Placed
20210,Male,24,Master,,2,2020,Opted,2,Yes,Civil,On Campus,470896,1,Placed
20211,Male,25,Master,7.22,4,2018,Not Opted,2,Yes,Electrical,On Campus,841627,1,Placed
20212,Male,27,Bachelor,5.11,2,2019,Not Opted,2,Yes,Computer Science,Off Campus,0,3,Not Placed
20213,Male,29,Master,6.51,3,2023,Not Opted,3,Yes,Information Technology,Off Campus,244864,1,Placed
20214,Male,27,Bachelor,7.51,4,2022,Opted,1,No,Electrical,Off Campus,905051,0,Placed
20215,Male,24,Master,5.28,2,2021,Opted,4,No,Information Technology,Off Campus,0,4,Not Placed
20216,Male,24,Master,7.46,0,2023,Opted,4,No,Computer Science,Off Campus,286675,0,Placed
20217,Female,29,Master,,1,2020,Not Opted,2,Yes,Electrical,On Campus,484487,0,Placed
20218,Male,28,Master,5.53,1,2022,Opted,4,No,Mechanical,Off Campus,424320,0,Placed
20219,Female,27,Bachelor,8.82,0,2022,Not Opted,5,No,Information Technology,On Campus,0,3,Not Placed
20220,Male,27,Bachelor,7.05,1,2019,Opted,4,Yes,Mechanical,Off Campus,391026,0,Placed
20221,Male,27,Master,8.28,1,2023,Opted,0,Yes,Electronics,On Campus,385770,2,Placed
20222,Male,24,Master,6.3,0,2023,Opted,5,Yes,Computer Science,Off Campus,557168,1,Placed
20223,Female,23,Bachelor,5.8,0,2018,Opted,5,Yes,Electronics,Off Campus,0,3,Not Placed
20224,Female,24,Master,5.8,2,2019,Not Opted,4,Yes,Information Technology,Off Campus,702857,2,Placed
20225,Female,25,Bachelor,5.35,2,2018,Not Opted,3,No,Computer Science,Off Campus,969483,2,Placed
20226,Female,23,Bachelor,5.93,0,2018,Not Opted,2,No,Electronics,Off Campus,0,4,Not Placed
20227,Male,26,Bachelor,8.32,3,2022,Not Opted,1,Yes,Electronics,On Campus,0,4,Not Placed
20228,Female,24,Master,9.41,1,2023,Opted,1,No,Computer Science,Off Campus,244220,2,Placed
20229,Male,23,Bachelor,9.07,2,2018,Not Opted,0,No,Mechanical,Off Campus,0,4,Not Placed
20230,Male,25,Master,8.43,1,2020,Not Opted,1,No,Electronics,Off Campus,312878,1,Placed
20231,Female,21,Bachelor,5.55,4,2020,Not Opted,1,No,Mechanical,On Campus,316583,1,Placed
20232,Female,24,Master,6.45,0,2023,Opted,2,Yes,Information Technology,Off Campus,0,4,Not Placed
20233,Female,30,Master,6.55,3,2020,Not Opted,2,No,Mechanical,On Campus,431876,0,Placed
20234,Female,29,Master,6.25,4,2022,Not Opted,3,No,Information Technology,Off Campus,739006,2,Placed
20235,Female,27,Bachelor,7.58,4,2019,Opted,0,No,Computer Science,On Campus,628813,1,Placed
20236,Female,21,Bachelor,7.68,4,2021,Opted,1,Yes,Electronics,Off Campus,0,4,Not Placed
20237,Female,28,Master,6.78,0,2018,Not Opted,3,No,Electronics,Off Campus,0,4,Not Placed
20238,Female,24,Master,6.77,2,2021,Not Opted,0,Yes,Electrical,On Campus,882192,1,Placed
20239,Male,28,Master,9.14,0,2019,Opted,5,Yes,Information Technology,Off Campus,952758,1,Placed
20240,Female,25,Bachelor,8.95,2,2019,Not Opted,1,Yes,Computer Science,On Campus,606080,0,Placed
20241,Female,21,Bachelor,,4,2022,Opted,1,Yes,Electrical,Off Campus,0,4,Not Placed
20242,Male,27,Bachelor,9.57,4,2020,Not Opted,2,No,Information Technology,Off Campus,0,4,Not Placed
20243,Female,25,Bachelor,9.76,3,2020,Not Opted,4,Yes,Electrical,On Campus,0,3,Not Placed
20244,Male,26,Master,6.63,2,2019,Not Opted,0,Yes,Information Technology,Off Campus,584462,0,Placed
20245,Male,26,Master,6.77,4,2022,Not Opted,1,Yes,Civil,On Campus,961595,1,Placed
20246,Female,27,Bachelor,,1,2022,Not Opted,0,Yes,Electrical,On Campus,649426,1,Placed
20247,Male,27,Bachelor,9.71,3,2023,Opted,3,Yes,Electronics,Off Campus,645170,2,Placed
20248,Male,24,Master,9.38,0,2018,Opted,3,No,Mechanical,Off Campus,835433,1,Placed
20249,Male,27,Bachelor,5.51,3,2020,Not Opted,4,Yes,Electrical,Off Campus,0,4,Not Placed
20250,Male,27,Bachelor,6.96,1,2019,Not Opted,1,No,Computer Science,On Campus,737706,1,Placed
20251,Female,27,Bachelor,7.77,2,2023,Not Opted,2,No,Computer Science,On Campus,0,4,Not Placed
20252,Male,27,Bachelor,7.52,0,2021,Opted,1,Yes,Electronics,Off Campus,0,4,Not Placed
20253,Female,27,Bachelor,5.97,0,2020,Opted,0,No,Computer Science,On Campus,703122,0,Placed
20254,Male,27,Bachelor,9.29,2,2018,Opted,5,No,Electrical,On Campus,527371,1,Placed
20255,Male,24,Master,8.38,3,2022,Opted,3,No,Computer Science,On Campus,606051,0,Placed
20256,Male,27,Bachelor,9.19,4,2019,Opted,0,Yes,Computer Science,On Campus,0,4,Not Placed
20257,Male,27,Bachelor,9.29,3,2020,Opted,4,Yes,Electrical,Off Campus,707966,1,Placed
20258,Female,25,Master,8.74,1,2021,Opted,3,Yes,Civil,Off Campus,688267,1,Placed
20259,Female,26,Master,7.2,4,2018,Opted,2,Yes,Electrical,Off Campus,569648,0,Placed
20260,Male,30,Master,8.05,3,2018,Not Opted,3,Yes,Mechanical,On Campus,418930,0,Placed
20261,Male,27,Bachelor,5.8,2,2023,Opted,5,Yes,Civil,On Campus,0,4,Not Placed
20262,Female,25,Master,8.37,1,2020,Opted,1,Yes,Computer Science,On Campus,0,4,Not Placed
20263,Male,27,Bachelor,5.9,1,2021,Opted,5,No,Information Technology,On Campus,734561,1,Placed
20264,Male,27,Bachelor,8.47,1,2018,Opted,5,No,Electronics,Off Campus,757807,1,Placed
20265,Male,23,Bachelor,6.15,4,2019,Not Opted,1,Yes,Mechanical,On Campus,0,3,Not Placed
20266,Female,28,Master,5.59,0,2018,Opted,3,No,Electrical,On Campus,0,3,Not Placed
20267,Female,24,Master,5.83,4,2021,Not Opted,4,Yes,Civil,Off Campus,708604,2,Placed
